name;category;image;rating;no_of_ratings;actual_price;discount_price
AmazonBasics USB Type-C to USB Type-C 2.0 Fast Charging Cable for Smartphone, Laptop - 6 Feet (1.8 Meters), White;tv, audio & cameras;https://m.media-amazon.com/images/I/61c0UMl3MPL._AC_UL320_.jpg;4.2;9452;10.99;5.49
Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands...;tv, audio & cameras;https://m.media-amazon.com/images/I/61nuUVNkecL._AC_UL320_.jpg;4.2;5266;38.49;25.29
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro US...;tv, audio & cameras;https://m.media-amazon.com/images/I/61AHm209BtL._AC_UL320_.jpg;4.0;45984;3.29;2.19
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devi...;tv, audio & cameras;https://m.media-amazon.com/images/I/61ZeHF2Cf4L._AC_UL320_.jpg;4.0;45984;3.29;2.19
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other T...;tv, audio & cameras;https://m.media-amazon.com/images/I/61oLp+pYPxL._AC_UL320_.jpg;4.0;45984;3.29;2.19
Amkette Evo Gamepad Pro 4 for Android | Instant Play | Bluetooth 4.0 | Extendable Smartphone Clamp | Works with COD, Mobil...;tv, audio & cameras;https://m.media-amazon.com/images/I/71Tg6JAz7SL._AC_UL320_.jpg;3.4;75;28.59;21.33
Axxeum Silicon Lightning USB Data Charging Cable Protector and Saver for Both Ends for All Android and iPhone Smartphones...;tv, audio & cameras;https://m.media-amazon.com/images/I/41xLZBXjg-L._AC_UL320_.jpg;3.9;2646;3.30;0.76
Belkin Smartphone Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)...;tv, audio & cameras;https://m.media-amazon.com/images/I/31MZNcvK3WL._AC_UL320_.jpg;4.4;4432;27.49;10.99
boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61ZN6k8pnoL._AC_UL320_.jpg;4.3;29153;8.79;3.29
boAt AUX 500 Indestructible 3.5mm Male to Male Metallic Aux Audio Cable with Gold Plated Connectors for Smartphone, 1.5 Me...;tv, audio & cameras;https://m.media-amazon.com/images/I/61u3cExvfXL._AC_UL320_.jpg;4.3;33299;6.59;3.29
boAt AUX 500 Indestructible Male to Male Metallic Aux Audio Cable with Gold Plated connectors for Smartphone, 1.5 Meter (5...;tv, audio & cameras;https://m.media-amazon.com/images/I/6175NboodZL._AC_UL320_.jpg;4.3;33299;6.59;3.84
boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61DMW4mrhDL._AC_UL320_.jpg;4.3;21136;10.99;3.84
Boya by-MM1 Super-Cardioid Shotgun Microphone with Real Time Monitoring Compatible with iPhone/Android Smartphones, DSLR C...;tv, audio & cameras;https://m.media-amazon.com/images/I/51T6FEDoEvL._AC_UL320_.jpg;3.9;4320;6.59;17.46
Callmate 20000mAh Power Bank, 15W Fast Charging| Buit-in Cables | 4 Output Ports and 3 Input | for iPhone, Smartphones & O...;tv, audio & cameras;https://m.media-amazon.com/images/I/51Cc-s5G-KL._AC_UL320_.jpg;3.5;240;27.49;14.84
CLAVIER Pulse in-Ear Headphones/Earphones with Stereo Mic for All Smartphones with Carrying Case (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/51Z44XviWsL._AC_UL320_.jpg;5.0;1;3.29;1.64
CLAVIER Super Bass in-Ear Earphones with Mic for All Smartphones with Rich Bass & Noise Cancellation (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/510HE3OVaqL._AC_UL320_.jpg;4.0;9;6.59;1.64
CLAVIER Super Bass Type-C in-Ear Earphones with Stereo Mic for All Smartphones with Rich Bass & Noise Cancellation;tv, audio & cameras;https://m.media-amazon.com/images/I/31PmoQo3DrL._AC_UL320_.jpg;2.9;5;6.59;1.64
Crossvolt USB Type C Super Vooc Flash Charging Cable for All Type C Phones, Smartphone, Realme Devices;tv, audio & cameras;https://m.media-amazon.com/images/I/41SeZxl2NmL._AC_UL320_.jpg;4.0;159;10.99;3.29
D2Q Vivo Compatible Fast Charging USB Data Cable for Vivo Smartphones Supports High Speed Charging Upto 3.1A (White) (6 Mo...;tv, audio & cameras;https://m.media-amazon.com/images/I/31RQqJWnmpL._AC_UL320_.jpg;3.7;14;8.79;1.64
D2Q Wired Original Galaxy Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Function Rem...;tv, audio & cameras;https://m.media-amazon.com/images/I/51fQJaiOO2L._AC_UL320_.jpg;4.2;103;9.89;3.29
D2Q Wired Original Galaxy In Ear Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Funct...;tv, audio & cameras;https://m.media-amazon.com/images/I/41dTDVdkEcL._AC_UL320_.jpg;4.2;103;9.89;3.29
DAHSHA 3.5 mm Audio Stereo Y Splitter Adapter, 3.5mm 1 Male to 2 Port Female For Earphone, Adapter For Smartphone, Tablets...;tv, audio & cameras;https://m.media-amazon.com/images/I/61eugUe8VUL._AC_UL320_.jpg;3.8;2598;13.19;2.74
DigioCraft Proshot V2 Teleprompter for iPhone, Ipad, Smartphone, DSRL Camera with Remote Control | Software & Pro Video Re...;tv, audio & cameras;https://m.media-amazon.com/images/I/71LqgTLzDAL._AC_UL320_.jpg;4.2;155;153.99;62.70
Digitek (DTR 480LW) (57 Inch) Portable Lightweight Aluminum Tripod for DSLR Cameras & Smartphones with Operating Ht. 4.75 ...;tv, audio & cameras;https://m.media-amazon.com/images/I/61bcGr6GN6L._AC_UL320_.jpg;4.3;2337;19.75;10.99
Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101;tv, audio & cameras;https://m.media-amazon.com/images/I/61H209ELWqL._AC_UL320_.jpg;3.6;220;76.95;50.59
DIGITEK® (DTR 455 LT) (51 Inch) Tripod for Smartphones & Cameras with Mobile Holder and Carry Bag, Max Operating Height - ...;tv, audio & cameras;https://m.media-amazon.com/images/I/61HWWzkHZHL._AC_UL320_.jpg;3.6;7321;10.99;7.69
DIGITEK® 3-Axis Handheld Gimbal Stabilizer for Smartphones & Gopro with Face & Object Tracking Motion, Various Time Lapse ...;tv, audio & cameras;https://m.media-amazon.com/images/I/71JlhAnmxAL._AC_UL320_.jpg;3.5;2350;120.95;65.99
DJI OM 4 SE - Handheld 3-Axis Smartphone Gimbal Stabilizer with Grip Tripod Vlog YouTube Live Video for iPhone Android, Gr...;tv, audio & cameras;https://m.media-amazon.com/images/I/61XzFY3sZRL._AC_UL320_.jpg;4.3;7257;10.99;98.44
DJI OM 5-Handheld 3-Axis Smartphone Gimbal Stabilizer with Grip Tripod, Built-in Extension Rod, Shot Guide for Vlogging, Y...;tv, audio & cameras;https://m.media-amazon.com/images/I/51bGCZWSRaL._AC_UL320_.jpg;4.2;3006;19.79;1.16
DJI OSMO Mobile 6 Smartphone Gimbal Stabilizer, 3-Axis Phone Gimbal, Built-In Extension Rod, Portable and Foldable, Androi...;tv, audio & cameras;https://m.media-amazon.com/images/I/51Q0I+lvW9L._AC_UL320_.jpg;4.2;3006;197.99;16.49
Dyazo 2.4 Amp 1 Meter Nylon Braided 3 In 1 Mobile Charging Usb Cable Compatible For All Smartphone, Iphones And Type C Dev...;tv, audio & cameras;https://m.media-amazon.com/images/I/71pvEdGb+CL._AC_UL320_.jpg;3.8;9;8.79;2.19
ELV Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (M...;tv, audio & cameras;https://m.media-amazon.com/images/I/61+4v5nye5L._AC_UL320_.jpg;4.5;29730;16.49;3.45
ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/71ZU8hKb2XL._AC_UL320_.jpg;4.5;29730;16.49;2.96
Elv Car Mount Adjustable Car Phone Holder Air Vent Mobile Mount with Automatic Lock Release Cradle for Smartphones;tv, audio & cameras;https://m.media-amazon.com/images/I/71zQjAZFZJL._AC_UL320_.jpg;3.6;513;10.99;4.39
ELV Direct Wall Mount Mobile Holder, Charging Holder Compatible All Smartphone and Remote Stand/Organizer/Showpiece for Tv...;tv, audio & cameras;https://m.media-amazon.com/images/I/61r4hi-TOVL._AC_UL320_.jpg;4.1;443;5.49;1.64
Elv FPStyli-2Gen-JETBLKIN Fine Point 2nd Gen Stainless Steel Stylus Pen for Tablets, Smartphones, Amazon Kindle (Jet Black);tv, audio & cameras;https://m.media-amazon.com/images/I/616E5XqQSgL._AC_UL320_.jpg;3.9;16591;17.26;3.84
ELV Mini Aluminum Adjustable Mobile Phone Foldable Holder Stand Dock Mount for All Smartphones (Mini Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61XYWyi1tXL._AC_UL320_.jpg;4.5;29730;7.69;2.19
Elv Wall Mount Mobile Holder, Mobile Stand for All Smartphones with Strong Adhesive Strips, Compatible with iPhone, Smartp...;tv, audio & cameras;https://m.media-amazon.com/images/I/71A5l152mjL._AC_UL320_.jpg;4.2;427;6.59;1.64
ELV Wall Mount Mobile Holder, Mobile Stand for All Smartphones with Strong Adhesive Strips, Compatible with iPhone, Smartp...;tv, audio & cameras;https://m.media-amazon.com/images/I/61XSvwaWrJS._AC_UL320_.jpg;4.3;232;3.29;0.98
ELV Wall Mount Mobile Holder, Mobile Stand for All Smartphones with Strong Adhesive Strips, Compatible with iPhone, Smartp...;tv, audio & cameras;https://m.media-amazon.com/images/I/61ILbD-6CBL._AC_UL320_.jpg;4.3;232;3.29;0.98
Everycom Tripod Phone Smartphone Mount Adapter Clip Holder Adjustable Bracket for Mini & Professional Tripod (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/41rizoc3e0L._AC_UL320_.jpg;3.9;231;3.29;1.09
EYUVAA LABEL Universal Monopod Holder Clip for Mobile Camera & Tripod Mount Holder Adjustable Smartphone Clip Clipper Comp...;tv, audio & cameras;https://m.media-amazon.com/images/I/51UiKsJ8OAL._AC_UL320_.jpg;4.1;39;4.39;1.27
Fast Charger Compatible for Mi Xiaomi Redmi Mi 9/9A/9i/4/4A/5/5A/6A/6 Pro/7 | Smartphone Mobile | Wall | Travel | Adapter/...;tv, audio & cameras;https://m.media-amazon.com/images/I/61cHMSC3dkL._AC_UL320_.jpg;3.1;202;10.99;3.58
Fast Quick Type C Charger for Samsung Galaxy M32, M 32 Charger Original Mobile Charger Wall Charger, Android Smartphone Ch...;tv, audio & cameras;https://m.media-amazon.com/images/I/61Cgp-lNxTL._AC_UL320_.jpg;3.3;91;10.99;4.37
FLiX (Beetel USB to Type C PVC Data Sync & 2A Smartphone Fast Charging Cable, Made in India, 480Mbps Data Sync, Tough Cabl...;tv, audio & cameras;https://m.media-amazon.com/images/I/514i6w1GLxL._AC_UL320_.jpg;4.0;10079;2.74;1.64
Flix Micro Usb Cable For Smartphone (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/513+fxWcSuL._AC_UL320_.jpg;4.0;10079;2.19;1.09
Frexcez 5V/4A USB Vooc Flash Power Adapter Cable Wall Charger for Oppo F11 Pro & All Oppo Smartphone -Cable;tv, audio & cameras;https://m.media-amazon.com/images/I/510eCkuo4WL._AC_UL320_.jpg;4.1;699;10.99;3.18
GEOCARTER Multi-Purpose Wall mount Mobile holder | Mobile Phone Charging Stand | Self Adhesive Universal Smartphone AC TV ...;tv, audio & cameras;https://m.media-amazon.com/images/I/51Yg0l8MMeL._AC_UL320_.jpg;4.3;78;5.49;3.69
GEOCARTER Multi-Purpose Wall Mount Mobile Holder Accessories Mobile Phone Charging Stand | Self Adhesive Smartphone AC TV ...;tv, audio & cameras;https://m.media-amazon.com/images/I/51cEvg-SF+L._AC_UL320_.jpg;4.3;78;5.49;3.84
Gizga Essentials 2-in-1 Professional Cleaning Kit (XL -170ML) for Camera, Lens, Binocular, Laptop, TV, Monitor,Smartphone,...;tv, audio & cameras;https://m.media-amazon.com/images/I/61ro5ave7mL._AC_UL320_.jpg;4.2;25215;6.59;3.84
GIZGA essentials â Portable 360 Rotating Tabletop Mobile Holder, Dock for Ipad, Smartphone, Kindle, E-Reader, Fully Folda...;tv, audio & cameras;https://m.media-amazon.com/images/I/51yYzYyt9pL._AC_UL320_.jpg;2.5;23;10.99;0.98
